Date,Close
2018-10-01 09:30:00-04:00,227.95
2018-10-01 09:40:00-04:00,228.78
2018-10-01 09:50:00-04:00,229.07
2018-10-01 10:00:00-04:00,228.77
2018-10-01 10:10:00-04:00,229.1
2018-10-01 10:20:00-04:00,228.48
2018-10-01 10:30:00-04:00,228.9625
2018-10-01 10:40:00-04:00,228.81
2018-10-01 10:50:00-04:00,228.69
2018-10-01 11:00:00-04:00,228.88
2018-10-01 11:10:00-04:00,228.15
2018-10-01 11:20:00-04:00,228.53
2018-10-01 11:30:00-04:00,228.58
2018-10-01 11:40:00-04:00,228.77
2018-10-01 11:50:00-04:00,228.87
2018-10-01 12:00:00-04:00,228.885
2018-10-01 12:10:00-04:00,228.64
2018-10-01 12:20:00-04:00,228.4923
2018-10-01 12:30:00-04:00,227.97
2018-10-01 12:40:00-04:00,228.074
2018-10-01 12:50:00-04:00,227.755
2018-10-01 13:00:00-04:00,227.58
2018-10-01 13:10:00-04:00,227.61
2018-10-01 13:20:00-04:00,227.92
2018-10-01 13:30:00-04:00,227.91
2018-10-01 13:40:00-04:00,227.87
2018-10-01 13:50:00-04:00,227.87
2018-10-01 14:00:00-04:00,227.74
2018-10-01 14:10:00-04:00,227.28
2018-10-01 14:20:00-04:00,227.459
2018-10-01 14:30:00-04:00,227.341
2018-10-01 14:40:00-04:00,226.99
2018-10-01 14:50:00-04:00,226.964
2018-10-01 15:00:00-04:00,227.16
2018-10-01 15:10:00-04:00,227.16
2018-10-01 15:20:00-04:00,227.21
2018-10-01 15:30:00-04:00,226.79
2018-10-01 15:40:00-04:00,226.62
2018-10-01 15:50:00-04:00,226.89
2018-10-01 16:00:00-04:00,227.26
2018-10-02 09:30:00-04:00,227.25
2018-10-02 09:40:00-04:00,227.2237
2018-10-02 09:50:00-04:00,228.23
2018-10-02 10:00:00-04:00,229.24
2018-10-02 10:10:00-04:00,228.8538
2018-10-02 10:20:00-04:00,228.7
2018-10-02 10:30:00-04:00,229.18
2018-10-02 10:40:00-04:00,228.93
2018-10-02 10:50:00-04:00,228.99
2018-10-02 11:00:00-04:00,229.14
2018-10-02 11:10:00-04:00,229.03
2018-10-02 11:20:00-04:00,228.827
2018-10-02 11:30:00-04:00,229.25
2018-10-02 11:40:00-04:00,229.28
2018-10-02 11:50:00-04:00,229.66
2018-10-02 12:00:00-04:00,229.81
2018-10-02 12:10:00-04:00,229.7048
2018-10-02 12:20:00-04:00,229.49
2018-10-02 12:30:00-04:00,229.75
2018-10-02 12:40:00-04:00,229.9284
2018-10-02 12:50:00-04:00,229.3928
2018-10-02 13:00:00-04:00,229.21
2018-10-02 13:10:00-04:00,229.2893
2018-10-02 13:20:00-04:00,229.18
2018-10-02 13:30:00-04:00,229.41
2018-10-02 13:40:00-04:00,229.6649
